Artist,Title,Difficulty,Link,Mod,Length,Star,Song No.
Marika,Knowing,cRyo's Insane,https://osu.ppy.sh/b/162237,Double Time,2:59 (1:59),3.55 (4.92),11
KOTOKO,Namida No Chikai,D.N.Angel,https://osu.ppy.sh/b/142375,Double Time,3:49 (2:32),3.58 (4.95),12
Shano x 40mp,Natuskoi Hanabi,Insane,https://osu.ppy.sh/b/274085,Double Time,4:36 (3:04),3.91 (5.35),13
KOKIA,Ningen tte Sonna Mono Ne,Humanity,https://osu.ppy.sh/b/200829,Double Time,4:54 (3:16),3.68 (5.07),14
Yiruma & Skulee,River Flows In You (Love Note),Love Note,https://osu.ppy.sh/b/199049,Double Time,2:20 (1:33),3.5 (4.92),15
September,Satellites,Insane,https://osu.ppy.sh/b/369921,Double Time,3:08 (2:05),3.93 (5.18),16
Crayon Pop,Saturday Night,Hard,https://osu.ppy.sh/b/291562,Double Time,3:03 (2:02),3.56 (4.93),17
Darren Korb,Setting Sail Coming Home,Insane,https://osu.ppy.sh/b/283593,Double Time,2:40 (1:46),3.6 (4.98),18
FELT,Sky Gate,Lunatic,https://osu.ppy.sh/b/327256&m=0,Double Time,4:40 (3:06),3.70 (5.04),19
cYsmix feat. Emmy,Tear Rain,Insane,https://osu.ppy.sh/b/351189,Double Time,3:59 (2:39),3.61 (5.01),20
Hanatan,Torinoko City,Insane,https://osu.ppy.sh/b/558277,Double Time,3:20 (2:13),3.82 (5.32),21
yanaginagi,Vidro Moyou,Insane,https://osu.ppy.sh/b/308908&m=0,Double Time,4:34 (3:02),3.72 (5.12),22
Kawada Mami,Wings of Courage -Sore o Koete-,wkyik's Insane,https://osu.ppy.sh/b/654387,Double Time,2:14 (1:29),3.64 (5.01),23
BRIGHT,1 Year 2 Months 20 Days,Athena,https://osu.ppy.sh/b/204428,Double Time,4:28 (2:58),3.77(5.27),0
Avicii,Addicted To You,Insane,https://osu.ppy.sh/b/445437,Double Time,2:20 (1:33),3.63 (4.96),1
Blue Stahli,Atom Smasher,Advanced,https://osu.ppy.sh/b/239259,Double Time,2:09 (1:26),3.7 (5.16),2
ClariS,Click,Insane,https://osu.ppy.sh/b/361011,Double Time,4:21 (2:54),3.7 (5.03),3
Duca,Clover (Short Ver.),Insane,https://osu.ppy.sh/b/118751,Double Time,1:34 (1:02),3.57 (4.95),4
Halcyonic Falcon X,Crystalis Fantasia,Insane,https://osu.ppy.sh/b/344789?m=0,Double Time,2:21 (1:34),3.86 (5.32),5
Lindsey Stirling,Crystalize,Black Snow,https://osu.ppy.sh/b/145157,Double Time,3:56 (2:37),3.56 (4.95),6
Yasuo-P,Electric Angel,Collab,https://osu.ppy.sh/b/167535,Double Time,1:34 (1:02),3.62 (5.02),7
Zedd,Find You,Reclaimed,https://osu.ppy.sh/b/404940,Double Time,3:15 (2:10),3.59 (4.88),8
FELT,Flower Flag,happy30,https://osu.ppy.sh/b/113679,Double Time,4:19 (2:52),3.85 (5.2),9
Tsuji Ayano,Kaze ni Naru,Insane,https://osu.ppy.sh/b/413446&m=0,Double Time,2.44 (1:49),3.56 (4.91),10
Marika,Knowing,cRyo's Insane,https://osu.ppy.sh/b/162237,Double Time,2:59 (1:59),3.55 (4.92),11
KOTOKO,Namida No Chikai,D.N.Angel,https://osu.ppy.sh/b/142375,Double Time,3:49 (2:32),3.58 (4.95),12
Shano x 40mp,Natuskoi Hanabi,Insane,https://osu.ppy.sh/b/274085,Double Time,4:36 (3:04),3.91 (5.35),13
KOKIA,Ningen tte Sonna Mono Ne,Humanity,https://osu.ppy.sh/b/200829,Double Time,4:54 (3:16),3.68 (5.07),14
Yiruma & Skulee,River Flows In You (Love Note),Love Note,https://osu.ppy.sh/b/199049,Double Time,2:20 (1:33),3.5 (4.92),15
September,Satellites,Insane,https://osu.ppy.sh/b/369921,Double Time,3:08 (2:05),3.93 (5.18),16
Crayon Pop,Saturday Night,Hard,https://osu.ppy.sh/b/291562,Double Time,3:03 (2:02),3.56 (4.93),17
Darren Korb,Setting Sail Coming Home,Insane,https://osu.ppy.sh/b/283593,Double Time,2:40 (1:46),3.6 (4.98),18
FELT,Sky Gate,Lunatic,https://osu.ppy.sh/b/327256&m=0,Double Time,4:40 (3:06),3.70 (5.04),19
cYsmix feat. Emmy,Tear Rain,Insane,https://osu.ppy.sh/b/351189,Double Time,3:59 (2:39),3.61 (5.01),20
Hanatan,Torinoko City,Insane,https://osu.ppy.sh/b/558277,Double Time,3:20 (2:13),3.82 (5.32),21
yanaginagi,Vidro Moyou,Insane,https://osu.ppy.sh/b/308908&m=0,Double Time,4:34 (3:02),3.72 (5.12),22
Kawada Mami,Wings of Courage -Sore o Koete-,wkyik's Insane,https://osu.ppy.sh/b/654387,Double Time,2:14 (1:29),3.64 (5.01),23
BRIGHT,1 Year 2 Months 20 Days,Athena,https://osu.ppy.sh/b/204428,Double Time,4:28 (2:58),3.77(5.27),0
Avicii,Addicted To You,Insane,https://osu.ppy.sh/b/445437,Double Time,2:20 (1:33),3.63 (4.96),1
Blue Stahli,Atom Smasher,Advanced,https://osu.ppy.sh/b/239259,Double Time,2:09 (1:26),3.7 (5.16),2
ClariS,Click,Insane,https://osu.ppy.sh/b/361011,Double Time,4:21 (2:54),3.7 (5.03),3
Duca,Clover (Short Ver.),Insane,https://osu.ppy.sh/b/118751,Double Time,1:34 (1:02),3.57 (4.95),4
Halcyonic Falcon X,Crystalis Fantasia,Insane,https://osu.ppy.sh/b/344789?m=0,Double Time,2:21 (1:34),3.86 (5.32),5
Lindsey Stirling,Crystalize,Black Snow,https://osu.ppy.sh/b/145157,Double Time,3:56 (2:37),3.56 (4.95),6
Yasuo-P,Electric Angel,Collab,https://osu.ppy.sh/b/167535,Double Time,1:34 (1:02),3.62 (5.02),7
